Ball,Score,Bowler,Batsmen,Commentry
19.6,4,Laughlin,Nair, upper cut over the keeper! On speed bouncer  he backed away and slashed it up and over the keeper!
19.5,4b,Laughlin,Nair, slower ball  he went to ramp it fine  misses and it goes through Banton's legs! Four byes! Oh no!
19.4,1,Laughlin,Ferguson, slower ball  he swings hard to deep midwicket and only gets one
19.3,0,Laughlin,Ferguson, full inswinger  he mistimes back to the bowler
19.2,0,Laughlin,Ferguson, slower off spinner  he backs away to cut but misses
19.1,4,Laughlin,Ferguson, he charges outside leg  gets a yorker  inside edges it fine past leg stump and away! Unlucky for Laughlin.
18.6,0,Lalor,Nair, slower ball  length  he swings hard and misses
18.5,3,Lalor,Ferguson, slower ball  he slices this up and over short third man  long chase for Steketee who does well
18.4,6,Lalor,Ferguson, he walks out to get the wide yorker on the full and flicks it over long on! What a shot! Brilliant batting. He read the play and changed the length
18.3,0,Lalor,Ferguson, perfect yorker outside off this time  he jams a bottom edge through to the keeper. Great comeback
18.2,6,Lalor,Ferguson, low full toss  he steps across and smokes this long over deep midwicket! What a strike! He was deep in the crease. Bad delivery  missed the yorker and Ferguson set up for it
18.1,1,Lalor,Nair, slower ball  outside off  he defends to point
17.6,W,Cutting,Green, leading edge caught and bowled! Slower ball  he tried to work to leg  gets a leading edge closing the face early  the top edge pops up towards midwicket and Cutting runs across to take the catch
17.5,1,Cutting,Ferguson, short and wide  he's back and cutting but can't beat Lalor who makes a great diving save at point
17.4,1,Cutting,Green, length slower ball  he miscues this to long off
17.3,4,Cutting,Green, top edge over the keeper's head! Length ball  he swings hard and it flies high and safe with fine leg and third man up
17.2,1,Cutting,Ferguson, he charges at a slower ball bouncer  he swats it down to deep midwicket
17.1,1,Cutting,Green, slower ball  slapped hard to long off
16.6,1,Laughlin,Green, wide yorker  he slaps a square drive to deep point
16.5,6,Laughlin,Green, Bryant drops it for six at deep backward square! This was a short ball  swung high to deep square  Bryant  who had been moved  ran too far in  ran back  and spilled it onto the rope for six!
16.4,4,Laughlin,Green, length ball  swung hard and flat and straight of Bryant at deep midwicket this time! Lands just short of the rope.
16.3,1,Laughlin,Ferguson, full on leg  he clips this in the air but just short of the man at deep midwicket! He could have dived for that
16.2,1,Laughlin,Green, fuller on off  he slaps a drive to cover
16.1,1,Laughlin,Ferguson, back of a length  wide of off  he's back and guiding to third man. 50 off 33 for Ferguson.
15.6,1,Zahir,to, leg break on middle  he's back and working to deep midwicket
15.5,4,Zahir,to, brilliant late cut! Wrong un  faster  93kph  he sits back and dabs it fine and it runs away with the pace to the short boundary
15.4,1,Zahir,to, shorter wrong un  he's back and cutting to backward point
15.3,1,Zahir,to, short ball  he's back and pulling to deep square leg
15.2,1,Zahir,to, tossed up on leg  he drives firmly to long on
15.1,1,Zahir,to, leg break on leg  he works to deep midwicket
14.6,2,Lalor,Green, full outside off  he hammers a drive down the ground and Laughlin saves two with a superb save on the long off rope! Full length diving stop
14.5,1,Lalor,Ferguson, wide slower ball  full  he drives to long off
14.4,4,Lalor,Ferguson, wide full toss  he reaches out and slices it just past backward point! It runs away and the man on the rope makes a mess of the save
14.3,1,Lalor,Green, shorter slower ball  he's back and cutting to deep cover
14.2,0,Lalor,Green, shorter length  tries to pull  taken on the body
14.1,0,Lalor,Green, good length on off  he guides this off the front foot to backward point
13.6,1,Swepson,Green, short leg break  he cuts hard in the air to deep point
13.5,0,Swepson,Green, wrong un on middle  he's back and defending
13.4,1,Swepson,Ferguson, short ball  he's back and pulling to deep midwicket
13.3,1,Swepson,Green, fast full leg break on middle  he pushes to mid off
